"Time","DC","Groundtruth"
2018-07-31 21:00:00,7,0
2018-07-31 21:05:00,7,0
2018-07-31 21:10:00,7,0
2018-07-31 21:15:00,7,0
2018-07-31 21:20:00,7,0
2018-07-31 21:25:00,6,0
2018-07-31 21:30:00,6,0
2018-07-31 21:35:00,7,0
2018-07-31 21:40:00,7,0
2018-07-31 21:45:00,7,0
2018-07-31 21:50:00,7,0
2018-07-31 21:55:00,7,0
2018-07-31 22:00:00,7,0
2018-08-01 06:00:00,6,0
2018-08-01 06:05:00,6,0
2018-08-01 06:10:00,6,0
2018-08-01 06:15:00,5,0
2018-08-01 06:20:00,5,0
2018-08-01 06:25:00,5,0
2018-08-01 06:30:00,5,0
2018-08-01 06:35:00,5,0
2018-08-01 06:40:00,5,0
2018-08-01 06:45:00,5,0
2018-08-01 06:50:00,5,0
2018-08-01 06:55:00,5,0
2018-08-01 07:00:00,5,0
2018-08-01 07:05:00,6,0
2018-08-01 07:10:00,6,0
2018-08-01 07:15:00,6,0
2018-08-01 07:20:00,6,0
2018-08-01 07:25:00,6,0
2018-08-01 07:30:00,6,0
2018-08-01 07:35:00,6,0
2018-08-01 07:40:00,5,1
2018-08-01 07:45:00,5,2
2018-08-01 07:50:00,6,2
2018-08-01 07:55:00,6,1
2018-08-01 08:00:00,6,1
2018-08-01 08:05:00,6,1
2018-08-01 08:10:00,7,1
2018-08-01 08:15:00,5,1
2018-08-01 08:20:00,6,1
2018-08-01 08:25:00,8,0
2018-08-01 08:30:00,8,0
2018-08-01 08:35:00,7,1
2018-08-01 08:40:00,8,1
2018-08-01 08:45:00,7,1
2018-08-01 08:50:00,7,1
2018-08-01 08:55:00,7,1
2018-08-01 09:00:00,7,2
2018-08-01 09:05:00,8,3
2018-08-01 09:10:00,8,3
2018-08-01 09:15:00,11,25
2018-08-01 09:20:00,12,28
